Depth,Temp,Sal,,,,,,,,,,,,,,,,,
167,15.66,36,,,,,,,,,,,,,,,,,
169,15.15,35.86,,,,,,,,,,,,,,,,,
171,15.07,35.84,,,,,,,,,,,,,,,,,
173,15.42,35.96,,,,,,,,,,,,,,,,,
175,15.37,35.95,,,,,,,,,,,,,,,,,
177,15.34,35.94,,,,,,,,,,,,,,,,,
179,14.89,35.81,,,,,,,,,,,,,,,,,
181,14.86,35.8,,,,,,,,,,,,,,,,,
183,14.83,35.81,,,,,,,,,,,,,,,,,
185,14.76,35.8,,,,,,,,,,,,,,,,,
187,14.71,35.78,,,,,,,,,,,,,,,,,
189,14.57,35.76,,,,,,,,,,,,,,,,,
191,14.45,35.74,,,,,,,,,,,,,,,,,
193,14.36,35.71,,,,,,,,,,,,,,,,,
195,14.89,35.88,,,,,,,,,,,,,,,,,
197,14.25,35.7,,,,,,,,,,,,,,,,,
199,14.72,35.84,,,,,,,,,,,,,,,,,
201,14.15,35.69,,,,,,,,,,,,,,,,,
203,14.59,35.82,,,,,,,,,,,,,,,,,
205,14.01,35.67,,,,,,,,,,,,,,,,,
207,13.99,35.66,,,,,,,,,,,,,,,,,
209,14.45,35.8,,,,,,,,,,,,,,,,,
211,14.44,35.75,,,,,,,,,,,,,,,,,
213,14.05,35.7,,,,,,,,,,,,,,,,,
215,14.22,35.75,,,,,,,,,,,,,,,,,
217,14.3,35.78,,,,,,,,,,,,,,,,,
219,14.29,35.78,,,,,,,,,,,,,,,,,
220,14.27,35.78,,,,,,,,,,,,,,,,,
221,14.29,35.73,,,,,,,,,,,,,,,,,
223,14.28,35.79,,,,,,,,,,,,,,,,,
224,13.78,35.64,,,,,,,,,,,,,,,,,
225,14.25,35.79,,,,,,,,,,,,,,,,,
227,14.24,35.79,,,,,,,,,,,,,,,,,
228,14.1,35.71,,,,,,,,,,,,,,,,,
229,14.23,35.79,,,,,,,,,,,,,,,,,
231,14.21,35.78,,,,,,,,,,,,,,,,,
232,13.65,35.63,,,,,,,,,,,,,,,,,
233,14.17,35.78,,,,,,,,,,,,,,,,,
234,13.77,35.69,,,,,,,,,,,,,,,,,
235,14.12,35.77,,,,,,,,,,,,,,,,,
237,14.12,35.77,,,,,,,,,,,,,,,,,
238,14.09,35.76,,,,,,,,,,,,,,,,,
239,13.77,35.65,,,,,,,,,,,,,,,,,
240,13.73,35.68,,,,,,,,,,,,,,,,,
242,13.98,35.75,,,,,,,,,,,,,,,,,
243,13.66,35.67,,,,,,,,,,,,,,,,,
244,13.6,35.65,,,,,,,,,,,,,,,,,
245,13.61,35.63,,,,,,,,,,,,,,,,,
246,13.88,35.74,,,,,,,,,,,,,,,,,
247,13.59,35.63,,,,,,,,,,,,,,,,,
248,13.83,35.73,,,,,,,,,,,,,,,,,
249,13.72,35.69,,,,,,,,,,,,,,,,,
250,13.8,35.73,,,,,,,,,,,,,,,,,
251,13.56,35.63,,,,,,,,,,,,,,,,,
252,13.74,35.72,,,,,,,,,,,,,,,,,
254,13.61,35.67,,,,,,,,,,,,,,,,,
256,13.67,35.7,,,,,,,,,,,,,,,,,
258,13.44,35.64,,,,,,,,,,,,,,,,,
260,13.44,35.65,,,,,,,,,,,,,,,,,
262,13.43,35.62,,,,,,,,,,,,,,,,,
264,13.55,35.68,,,,,,,,,,,,,,,,,
266,13.43,35.62,,,,,,,,,,,,,,,,,
268,13.41,35.65,,,,,,,,,,,,,,,,,
270,13.39,35.65,,,,,,,,,,,,,,,,,
272,13.35,35.64,,,,,,,,,,,,,,,,,
274,13.34,35.64,,,,,,,,,,,,,,,,,
276,13.31,35.64,,,,,,,,,,,,,,,,,
278,13.27,35.64,,,,,,,,,,,,,,,,,
280,13.21,35.63,,,,,,,,,,,,,,,,,
282,13.26,35.64,,,,,,,,,,,,,,,,,
284,13.23,35.64,,,,,,,,,,,,,,,,,
286,13.22,35.63,,,,,,,,,,,,,,,,,
288,13.03,35.6,,,,,,,,,,,,,,,,,
290,13.19,35.64,,,,,,,,,,,,,,,,,
292,13.16,35.63,,,,,,,,,,,,,,,,,
294,13.09,35.62,,,,,,,,,,,,,,,,,
296,12.91,35.58,,,,,,,,,,,,,,,,,
298,12.88,35.58,,,,,,,,,,,,,,,,,
300,12.97,35.6,,,,,,,,,,,,,,,,,
302,12.94,35.6,,,,,,,,,,,,,,,,,
304,12.93,35.6,,,,,,,,,,,,,,,,,
306,12.9,35.59,,,,,,,,,,,,,,,,,
308,12.8,35.58,,,,,,,,,,,,,,,,,
310,12.77,35.57,,,,,,,,,,,,,,,,,
312,12.85,35.58,,,,,,,,,,,,,,,,,
314,12.74,35.57,,,,,,,,,,,,,,,,,
316,12.81,35.58,,,,,,,,,,,,,,,,,
318,12.58,35.54,,,,,,,,,,,,,,,,,
320,12.71,35.56,,,,,,,,,,,,,,,,,
322,12.49,35.53,,,,,,,,,,,,,,,,,
324,12.55,35.54,,,,,,,,,,,,,,,,,
326,12.41,35.52,,,,,,,,,,,,,,,,,
328,12.55,35.54,,,,,,,,,,,,,,,,,
330,12.36,35.51,,,,,,,,,,,,,,,,,
332,12.31,35.5,,,,,,,,,,,,,,,,,
334,12.26,35.5,,,,,,,,,,,,,,,,,
336,12.21,35.49,,,,,,,,,,,,,,,,,
338,12.16,35.49,,,,,,,,,,,,,,,,,
340,12.14,35.48,,,,,,,,,,,,,,,,,
342,12.11,35.48,,,,,,,,,,,,,,,,,
344,12.17,35.49,,,,,,,,,,,,,,,,,
346,12.12,35.49,,,,,,,,,,,,,,,,,
348,12.16,35.48,,,,,,,,,,,,,,,,,
350,11.93,35.46,,,,,,,,,,,,,,,,,
352,11.91,35.45,,,,,,,,,,,,,,,,,
354,11.89,35.45,,,,,,,,,,,,,,,,,
356,12.03,35.47,,,,,,,,,,,,,,,,,
358,11.79,35.44,,,,,,,,,,,,,,,,,
359,11.98,35.46,,,,,,,,,,,,,,,,,
360,11.76,35.43,,,,,,,,,,,,,,,,,
361,11.95,35.46,,,,,,,,,,,,,,,,,
362,11.72,35.43,,,,,,,,,,,,,,,,,
363,11.93,35.45,,,,,,,,,,,,,,,,,
364,11.69,35.42,,,,,,,,,,,,,,,,,
366,11.66,35.42,,,,,,,,,,,,,,,,,
368,11.72,35.43,,,,,,,,,,,,,,,,,
370,11.62,35.41,,,,,,,,,,,,,,,,,
371,11.66,35.42,,,,,,,,,,,,,,,,,
372,11.6,35.41,,,,,,,,,,,,,,,,,
