Depth,Temp,Sal,,,,,,,,,,,,,,,,,
849,6.66,34.89,,,,,,,,,,,,,,,,,
851,6.67,34.9,,,,,,,,,,,,,,,,,
853,6.61,34.89,,,,,,,,,,,,,,,,,
855,6.66,34.9,,,,,,,,,,,,,,,,,
857,6.64,34.9,,,,,,,,,,,,,,,,,
859,6.64,34.9,,,,,,,,,,,,,,,,,
861,6.63,34.9,,,,,,,,,,,,,,,,,
863,6.6,34.89,,,,,,,,,,,,,,,,,
865,6.66,34.91,,,,,,,,,,,,,,,,,
867,6.65,34.92,,,,,,,,,,,,,,,,,
869,6.66,34.93,,,,,,,,,,,,,,,,,
871,6.63,34.91,,,,,,,,,,,,,,,,,
873,6.66,34.93,,,,,,,,,,,,,,,,,
875,6.61,34.91,,,,,,,,,,,,,,,,,
877,6.66,34.93,,,,,,,,,,,,,,,,,
879,6.69,34.94,,,,,,,,,,,,,,,,,
881,6.69,34.94,,,,,,,,,,,,,,,,,
883,6.68,34.94,,,,,,,,,,,,,,,,,
885,6.66,34.93,,,,,,,,,,,,,,,,,
887,6.68,34.93,,,,,,,,,,,,,,,,,
889,6.71,34.94,,,,,,,,,,,,,,,,,
891,6.62,34.94,,,,,,,,,,,,,,,,,
893,6.61,34.94,,,,,,,,,,,,,,,,,
895,6.6,34.95,,,,,,,,,,,,,,,,,
897,6.59,34.95,,,,,,,,,,,,,,,,,
899,6.67,34.94,,,,,,,,,,,,,,,,,
901,6.66,34.94,,,,,,,,,,,,,,,,,
903,6.55,34.95,,,,,,,,,,,,,,,,,
905,6.6,34.93,,,,,,,,,,,,,,,,,
907,6.62,34.94,,,,,,,,,,,,,,,,,
909,6.62,34.95,,,,,,,,,,,,,,,,,
911,6.54,34.92,,,,,,,,,,,,,,,,,
912,6.53,34.92,,,,,,,,,,,,,,,,,
913,6.62,34.95,,,,,,,,,,,,,,,,,
914,6.61,34.95,,,,,,,,,,,,,,,,,
915,6.53,34.93,,,,,,,,,,,,,,,,,
917,6.6,34.95,,,,,,,,,,,,,,,,,
918,6.51,34.93,,,,,,,,,,,,,,,,,
919,6.58,34.95,,,,,,,,,,,,,,,,,
920,6.5,34.92,,,,,,,,,,,,,,,,,
921,6.56,34.95,,,,,,,,,,,,,,,,,
922,6.48,34.92,,,,,,,,,,,,,,,,,
923,6.5,34.95,,,,,,,,,,,,,,,,,
924,6.55,34.95,,,,,,,,,,,,,,,,,
925,6.48,34.95,,,,,,,,,,,,,,,,,
926,6.56,34.95,,,,,,,,,,,,,,,,,
928,6.56,34.95,,,,,,,,,,,,,,,,,
930,6.46,34.95,,,,,,,,,,,,,,,,,
932,6.44,34.95,,,,,,,,,,,,,,,,,
934,6.43,34.95,,,,,,,,,,,,,,,,,
936,6.49,34.95,,,,,,,,,,,,,,,,,
938,6.46,34.95,,,,,,,,,,,,,,,,,
940,6.56,34.95,,,,,,,,,,,,,,,,,
942,6.43,34.94,,,,,,,,,,,,,,,,,
944,6.53,34.95,,,,,,,,,,,,,,,,,
946,6.51,34.95,,,,,,,,,,,,,,,,,
948,6.32,34.94,,,,,,,,,,,,,,,,,
950,6.29,34.94,,,,,,,,,,,,,,,,,
952,6.38,34.94,,,,,,,,,,,,,,,,,
954,6.36,34.95,,,,,,,,,,,,,,,,,
956,6.34,34.95,,,,,,,,,,,,,,,,,
958,6.4,34.95,,,,,,,,,,,,,,,,,
960,6.38,34.95,,,,,,,,,,,,,,,,,
962,6.36,34.95,,,,,,,,,,,,,,,,,
964,6.26,34.94,,,,,,,,,,,,,,,,,
966,6.34,34.95,,,,,,,,,,,,,,,,,
968,6.31,34.95,,,,,,,,,,,,,,,,,
970,6.22,34.94,,,,,,,,,,,,,,,,,
972,6.18,34.93,,,,,,,,,,,,,,,,,
974,6.18,34.93,,,,,,,,,,,,,,,,,
976,6.14,34.93,,,,,,,,,,,,,,,,,
978,6.19,34.94,,,,,,,,,,,,,,,,,
980,6.19,34.94,,,,,,,,,,,,,,,,,
982,6.21,34.95,,,,,,,,,,,,,,,,,
984,6.21,34.94,,,,,,,,,,,,,,,,,
986,6.18,34.94,,,,,,,,,,,,,,,,,
988,6.12,34.94,,,,,,,,,,,,,,,,,
990,6.14,34.94,,,,,,,,,,,,,,,,,
992,6.13,34.94,,,,,,,,,,,,,,,,,
994,6.13,34.94,,,,,,,,,,,,,,,,,
996,6.14,34.94,,,,,,,,,,,,,,,,,
998,6.06,34.93,,,,,,,,,,,,,,,,,
1000,6.1,34.94,,,,,,,,,,,,,,,,,
1002,6.1,34.94,,,,,,,,,,,,,,,,,
1004,6.09,34.93,,,,,,,,,,,,,,,,,
1006,6.01,34.93,,,,,,,,,,,,,,,,,
1008,6,34.93,,,,,,,,,,,,,,,,,
1010,5.99,34.93,,,,,,,,,,,,,,,,,
1012,6.02,34.93,,,,,,,,,,,,,,,,,
1014,6.01,34.93,,,,,,,,,,,,,,,,,
1015,6.01,34.94,,,,,,,,,,,,,,,,,
1016,6.01,34.93,,,,,,,,,,,,,,,,,
1017,6,34.93,,,,,,,,,,,,,,,,,
1019,6,34.93,,,,,,,,,,,,,,,,,
1020,6.05,34.95,,,,,,,,,,,,,,,,,
1021,6,34.93,,,,,,,,,,,,,,,,,
1023,6,34.93,,,,,,,,,,,,,,,,,
1025,5.99,34.93,,,,,,,,,,,,,,,,,
1027,6.07,34.96,,,,,,,,,,,,,,,,,
1029,6.06,34.96,,,,,,,,,,,,,,,,,
1031,6.04,34.96,,,,,,,,,,,,,,,,,
1033,6.03,34.95,,,,,,,,,,,,,,,,,
1035,6.03,34.95,,,,,,,,,,,,,,,,,
1037,5.98,34.95,,,,,,,,,,,,,,,,,
1039,5.96,34.95,,,,,,,,,,,,,,,,,
1041,6,34.95,,,,,,,,,,,,,,,,,
1043,5.95,34.95,,,,,,,,,,,,,,,,,
1045,5.95,34.94,,,,,,,,,,,,,,,,,
1047,5.94,34.95,,,,,,,,,,,,,,,,,
1049,5.94,34.94,,,,,,,,,,,,,,,,,
1051,5.97,34.95,,,,,,,,,,,,,,,,,
1053,5.94,34.94,,,,,,,,,,,,,,,,,
1055,5.94,34.95,,,,,,,,,,,,,,,,,
1057,5.94,34.95,,,,,,,,,,,,,,,,,
1059,5.93,34.95,,,,,,,,,,,,,,,,,
1061,5.93,34.96,,,,,,,,,,,,,,,,,
1063,5.92,34.96,,,,,,,,,,,,,,,,,
1065,5.91,34.95,,,,,,,,,,,,,,,,,
1067,5.92,34.95,,,,,,,,,,,,,,,,,
1069,5.93,34.96,,,,,,,,,,,,,,,,,
1071,5.93,34.96,,,,,,,,,,,,,,,,,
1073,5.93,34.96,,,,,,,,,,,,,,,,,
1075,5.93,34.96,,,,,,,,,,,,,,,,,
1077,5.94,34.97,,,,,,,,,,,,,,,,,
1079,5.89,34.97,,,,,,,,,,,,,,,,,
1081,5.93,34.97,,,,,,,,,,,,,,,,,
1083,5.91,34.97,,,,,,,,,,,,,,,,,
1085,5.89,34.97,,,,,,,,,,,,,,,,,
1087,5.82,34.97,,,,,,,,,,,,,,,,,
1089,5.87,34.97,,,,,,,,,,,,,,,,,
1091,5.89,34.97,,,,,,,,,,,,,,,,,
1093,5.89,34.98,,,,,,,,,,,,,,,,,
1095,5.89,34.98,,,,,,,,,,,,,,,,,
1097,5.89,34.98,,,,,,,,,,,,,,,,,
1098,5.76,34.97,,,,,,,,,,,,,,,,,
1099,5.9,34.98,,,,,,,,,,,,,,,,,
1100,5.76,34.97,,,,,,,,,,,,,,,,,
1101,5.91,34.98,,,,,,,,,,,,,,,,,
1102,5.91,34.98,,,,,,,,,,,,,,,,,
1103,5.76,34.97,,,,,,,,,,,,,,,,,
1104,5.75,34.97,,,,,,,,,,,,,,,,,
1106,5.84,34.98,,,,,,,,,,,,,,,,,
1108,5.88,34.99,,,,,,,,,,,,,,,,,
1110,5.82,34.98,,,,,,,,,,,,,,,,,
1111,5.88,34.99,,,,,,,,,,,,,,,,,
1112,5.72,34.98,,,,,,,,,,,,,,,,,
1114,5.72,34.98,,,,,,,,,,,,,,,,,
1116,5.72,34.98,,,,,,,,,,,,,,,,,
1118,5.87,34.99,,,,,,,,,,,,,,,,,
1120,5.84,34.99,,,,,,,,,,,,,,,,,
1122,5.7,34.98,,,,,,,,,,,,,,,,,
1124,5.75,34.98,,,,,,,,,,,,,,,,,
1126,5.81,34.99,,,,,,,,,,,,,,,,,
1128,5.8,34.99,,,,,,,,,,,,,,,,,
1130,5.8,34.99,,,,,,,,,,,,,,,,,
1132,5.8,34.99,,,,,,,,,,,,,,,,,
1134,5.79,34.99,,,,,,,,,,,,,,,,,
1136,5.69,34.98,,,,,,,,,,,,,,,,,
1138,5.78,34.99,,,,,,,,,,,,,,,,,
1140,5.64,34.98,,,,,,,,,,,,,,,,,
1142,5.77,34.99,,,,,,,,,,,,,,,,,
1144,5.65,34.99,,,,,,,,,,,,,,,,,
1146,5.64,34.98,,,,,,,,,,,,,,,,,
1148,5.65,34.99,,,,,,,,,,,,,,,,,
1150,5.64,34.99,,,,,,,,,,,,,,,,,
1152,5.64,34.99,,,,,,,,,,,,,,,,,
1154,5.63,34.99,,,,,,,,,,,,,,,,,
1156,5.61,34.99,,,,,,,,,,,,,,,,,
1158,5.59,34.99,,,,,,,,,,,,,,,,,
1160,5.75,35.01,,,,,,,,,,,,,,,,,
1162,5.74,35.01,,,,,,,,,,,,,,,,,
1164,5.73,35.01,,,,,,,,,,,,,,,,,
1166,5.59,35,,,,,,,,,,,,,,,,,
1168,5.73,35.01,,,,,,,,,,,,,,,,,
1170,5.71,35.01,,,,,,,,,,,,,,,,,
1172,5.55,34.99,,,,,,,,,,,,,,,,,
1174,5.55,35,,,,,,,,,,,,,,,,,
1176,5.54,34.99,,,,,,,,,,,,,,,,,
1178,5.66,35.01,,,,,,,,,,,,,,,,,
1180,5.65,35.02,,,,,,,,,,,,,,,,,
1182,5.64,35.02,,,,,,,,,,,,,,,,,
1184,5.51,35,,,,,,,,,,,,,,,,,
1185,5.62,35.02,,,,,,,,,,,,,,,,,
1186,5.51,35,,,,,,,,,,,,,,,,,
1187,5.6,35.02,,,,,,,,,,,,,,,,,
1188,5.51,35,,,,,,,,,,,,,,,,,
1190,5.59,35.02,,,,,,,,,,,,,,,,,
1191,5.45,35,,,,,,,,,,,,,,,,,
1192,5.58,35.02,,,,,,,,,,,,,,,,,
1193,5.51,35.01,,,,,,,,,,,,,,,,,
1194,5.56,35.01,,,,,,,,,,,,,,,,,
1195,5.44,35,,,,,,,,,,,,,,,,,
1196,5.55,35.01,,,,,,,,,,,,,,,,,
1197,5.5,35.01,,,,,,,,,,,,,,,,,
1198,5.55,35.01,,,,,,,,,,,,,,,,,
1199,5.43,35,,,,,,,,,,,,,,,,,
1201,5.54,35.01,,,,,,,,,,,,,,,,,
1203,5.54,35.02,,,,,,,,,,,,,,,,,
1205,5.49,35.01,,,,,,,,,,,,,,,,,
1207,5.42,35,,,,,,,,,,,,,,,,,
1209,5.42,35.01,,,,,,,,,,,,,,,,,
1211,5.48,35.02,,,,,,,,,,,,,,,,,
1213,5.46,35.02,,,,,,,,,,,,,,,,,
1215,5.45,35.02,,,,,,,,,,,,,,,,,
1217,5.39,35,,,,,,,,,,,,,,,,,
1219,5.43,35.02,,,,,,,,,,,,,,,,,
1221,5.43,35.02,,,,,,,,,,,,,,,,,
1223,5.43,35.02,,,,,,,,,,,,,,,,,
1225,5.43,35.02,,,,,,,,,,,,,,,,,
1227,5.43,35.02,,,,,,,,,,,,,,,,,
1229,5.43,35.02,,,,,,,,,,,,,,,,,
1231,5.44,35.03,,,,,,,,,,,,,,,,,
1233,5.43,35.03,,,,,,,,,,,,,,,,,
1235,5.42,35.03,,,,,,,,,,,,,,,,,
1237,5.4,35.02,,,,,,,,,,,,,,,,,
1239,5.39,35.03,,,,,,,,,,,,,,,,,
1241,5.28,34.99,,,,,,,,,,,,,,,,,
1243,5.41,35.03,,,,,,,,,,,,,,,,,
1245,5.33,35.03,,,,,,,,,,,,,,,,,
1247,5.32,35.02,,,,,,,,,,,,,,,,,
1249,5.3,35.02,,,,,,,,,,,,,,,,,
1251,5.39,35.03,,,,,,,,,,,,,,,,,
1253,5.28,35.02,,,,,,,,,,,,,,,,,
1255,5.28,35.02,,,,,,,,,,,,,,,,,
1257,5.27,35.02,,,,,,,,,,,,,,,,,
1259,5.26,35.02,,,,,,,,,,,,,,,,,
1261,5.24,35.02,,,,,,,,,,,,,,,,,
1263,5.23,35.02,,,,,,,,,,,,,,,,,
1265,5.34,35.03,,,,,,,,,,,,,,,,,
1266,5.18,35,,,,,,,,,,,,,,,,,
1267,5.34,35.03,,,,,,,,,,,,,,,,,
1269,5.34,35.03,,,,,,,,,,,,,,,,,
1271,5.19,35.02,,,,,,,,,,,,,,,,,
1273,5.18,35.02,,,,,,,,,,,,,,,,,
1274,5.17,35,,,,,,,,,,,,,,,,,
1275,5.16,35.02,,,,,,,,,,,,,,,,,
1276,5.16,35,,,,,,,,,,,,,,,,,
1277,5.15,35.02,,,,,,,,,,,,,,,,,
1278,5.15,35.02,,,,,,,,,,,,,,,,,
1280,5.15,35.02,,,,,,,,,,,,,,,,,
1282,5.15,35,,,,,,,,,,,,,,,,,
1283,5.15,35.02,,,,,,,,,,,,,,,,,
1284,5.14,35,,,,,,,,,,,,,,,,,
1286,5.15,35.02,,,,,,,,,,,,,,,,,
1288,5.13,35.01,,,,,,,,,,,,,,,,,
1290,5.13,35.01,,,,,,,,,,,,,,,,,
1292,5.12,35.01,,,,,,,,,,,,,,,,,
1294,5.11,35.01,,,,,,,,,,,,,,,,,
1296,5.1,35.01,,,,,,,,,,,,,,,,,
1298,5.1,35.01,,,,,,,,,,,,,,,,,
1300,5.24,35.03,,,,,,,,,,,,,,,,,
1302,5.08,35.01,,,,,,,,,,,,,,,,,
1304,5.21,35.03,,,,,,,,,,,,,,,,,
1306,5.06,35,,,,,,,,,,,,,,,,,
1308,5.17,35.02,,,,,,,,,,,,,,,,,
1310,5.06,35.01,,,,,,,,,,,,,,,,,
1312,5.05,35.01,,,,,,,,,,,,,,,,,
1314,5.05,35.01,,,,,,,,,,,,,,,,,
1316,5.04,35,,,,,,,,,,,,,,,,,
1318,5.03,35.01,,,,,,,,,,,,,,,,,
1320,5.1,35.02,,,,,,,,,,,,,,,,,
1322,5.01,35.01,,,,,,,,,,,,,,,,,
1324,5.02,35,,,,,,,,,,,,,,,,,
1326,5.02,35,,,,,,,,,,,,,,,,,
1328,5.01,35,,,,,,,,,,,,,,,,,
1330,5.04,35.01,,,,,,,,,,,,,,,,,
1332,5.02,35.01,,,,,,,,,,,,,,,,,
1334,4.98,35.01,,,,,,,,,,,,,,,,,
1336,4.98,35.01,,,,,,,,,,,,,,,,,
1338,5,35.01,,,,,,,,,,,,,,,,,
1340,4.96,35,,,,,,,,,,,,,,,,,
1342,4.95,35,,,,,,,,,,,,,,,,,
1344,4.95,35,,,,,,,,,,,,,,,,,
1346,4.94,35.01,,,,,,,,,,,,,,,,,
1348,4.94,35.01,,,,,,,,,,,,,,,,,
1350,4.95,35.02,,,,,,,,,,,,,,,,,
1351,4.94,35,,,,,,,,,,,,,,,,,
1352,4.94,35.02,,,,,,,,,,,,,,,,,
1354,4.94,35.02,,,,,,,,,,,,,,,,,
1355,4.93,35,,,,,,,,,,,,,,,,,
1356,4.93,35.02,,,,,,,,,,,,,,,,,
1357,4.92,35,,,,,,,,,,,,,,,,,
1358,4.92,35.02,,,,,,,,,,,,,,,,,
1359,4.91,35.02,,,,,,,,,,,,,,,,,
1361,4.91,35.02,,,,,,,,,,,,,,,,,
1363,4.91,35,,,,,,,,,,,,,,,,,
1365,4.9,35,,,,,,,,,,,,,,,,,
1366,4.9,35.02,,,,,,,,,,,,,,,,,
1367,4.89,35,,,,,,,,,,,,,,,,,
1369,4.9,35.02,,,,,,,,,,,,,,,,,
1371,4.89,35,,,,,,,,,,,,,,,,,
1373,4.87,35,,,,,,,,,,,,,,,,,
1375,4.88,35,,,,,,,,,,,,,,,,,
1377,4.86,35,,,,,,,,,,,,,,,,,
1379,4.88,35,,,,,,,,,,,,,,,,,
1381,4.88,35,,,,,,,,,,,,,,,,,
1383,4.83,35,,,,,,,,,,,,,,,,,
1385,4.82,35,,,,,,,,,,,,,,,,,
1387,4.87,35,,,,,,,,,,,,,,,,,
1389,4.81,35,,,,,,,,,,,,,,,,,
1391,4.87,35.02,,,,,,,,,,,,,,,,,
1393,4.86,35.02,,,,,,,,,,,,,,,,,
1395,4.84,35,,,,,,,,,,,,,,,,,
1397,4.84,35,,,,,,,,,,,,,,,,,
1399,4.84,35.02,,,,,,,,,,,,,,,,,
1401,4.83,35.02,,,,,,,,,,,,,,,,,
1403,4.78,35,,,,,,,,,,,,,,,,,
1405,4.77,35,,,,,,,,,,,,,,,,,
1407,4.8,35.02,,,,,,,,,,,,,,,,,
1409,4.81,35,,,,,,,,,,,,,,,,,
1411,4.81,35,,,,,,,,,,,,,,,,,
1413,4.74,35,,,,,,,,,,,,,,,,,
1415,4.73,35,,,,,,,,,,,,,,,,,
1417,4.76,35.02,,,,,,,,,,,,,,,,,
1419,4.76,35.02,,,,,,,,,,,,,,,,,
1421,4.7,35,,,,,,,,,,,,,,,,,
1423,4.7,35,,,,,,,,,,,,,,,,,
1425,4.69,35,,,,,,,,,,,,,,,,,
1427,4.73,35.02,,,,,,,,,,,,,,,,,
1428,4.67,35,,,,,,,,,,,,,,,,,
1429,4.77,35,,,,,,,,,,,,,,,,,
1430,4.71,35.02,,,,,,,,,,,,,,,,,
1431,4.66,35,,,,,,,,,,,,,,,,,
1433,4.7,35.02,,,,,,,,,,,,,,,,,
1434,4.75,35,,,,,,,,,,,,,,,,,
1435,4.69,35.02,,,,,,,,,,,,,,,,,
1436,4.68,35.02,,,,,,,,,,,,,,,,,
1438,4.68,35.02,,,,,,,,,,,,,,,,,
1440,4.67,35.02,,,,,,,,,,,,,,,,,
1441,4.63,35,,,,,,,,,,,,,,,,,
1442,4.67,35.02,,,,,,,,,,,,,,,,,
1443,4.62,35,,,,,,,,,,,,,,,,,
1444,4.65,35.02,,,,,,,,,,,,,,,,,
1446,4.61,35,,,,,,,,,,,,,,,,,
1448,4.6,35,,,,,,,,,,,,,,,,,
1450,4.69,35,,,,,,,,,,,,,,,,,
1452,4.62,35.02,,,,,,,,,,,,,,,,,
1454,4.62,35.02,,,,,,,,,,,,,,,,,
1456,4.57,35,,,,,,,,,,,,,,,,,
1458,4.57,35,,,,,,,,,,,,,,,,,
1460,4.6,35.02,,,,,,,,,,,,,,,,,
1462,4.6,35.02,,,,,,,,,,,,,,,,,
1464,4.59,35.02,,,,,,,,,,,,,,,,,
1466,4.55,35,,,,,,,,,,,,,,,,,
1468,4.59,35.02,,,,,,,,,,,,,,,,,
1470,4.58,35.02,,,,,,,,,,,,,,,,,
1472,4.58,35.02,,,,,,,,,,,,,,,,,
1474,4.54,35,,,,,,,,,,,,,,,,,
1476,4.54,35,,,,,,,,,,,,,,,,,
1478,4.57,35.02,,,,,,,,,,,,,,,,,
1480,4.59,35,,,,,,,,,,,,,,,,,
1482,4.53,35,,,,,,,,,,,,,,,,,
1484,4.56,35.01,,,,,,,,,,,,,,,,,
1486,4.55,35.02,,,,,,,,,,,,,,,,,
1488,4.52,35,,,,,,,,,,,,,,,,,
1490,4.52,35,,,,,,,,,,,,,,,,,
1492,4.51,35,,,,,,,,,,,,,,,,,
1494,4.51,35,,,,,,,,,,,,,,,,,
1496,4.52,35,,,,,,,,,,,,,,,,,
1498,4.48,35.01,,,,,,,,,,,,,,,,,
1500,4.47,35.01,,,,,,,,,,,,,,,,,
1502,4.46,35.01,,,,,,,,,,,,,,,,,
1504,4.48,35,,,,,,,,,,,,,,,,,
1505,4.47,35,,,,,,,,,,,,,,,,,
1506,4.44,35.01,,,,,,,,,,,,,,,,,
1508,4.48,35,,,,,,,,,,,,,,,,,
1510,4.43,35.01,,,,,,,,,,,,,,,,,
1511,4.47,35,,,,,,,,,,,,,,,,,
1512,4.42,35.01,,,,,,,,,,,,,,,,,
1513,4.39,35,,,,,,,,,,,,,,,,,
1515,4.38,35,,,,,,,,,,,,,,,,,
1517,4.38,35,,,,,,,,,,,,,,,,,
1519,4.45,35,,,,,,,,,,,,,,,,,
1521,4.36,35,,,,,,,,,,,,,,,,,
1522,4.44,35,,,,,,,,,,,,,,,,,
1523,4.36,35,,,,,,,,,,,,,,,,,
1525,4.42,35,,,,,,,,,,,,,,,,,
1527,4.41,35,,,,,,,,,,,,,,,,,
1529,4.41,35,,,,,,,,,,,,,,,,,
1531,4.35,35,,,,,,,,,,,,,,,,,
1533,4.4,35,,,,,,,,,,,,,,,,,
1535,4.39,35,,,,,,,,,,,,,,,,,
1537,4.33,35,,,,,,,,,,,,,,,,,
1539,4.33,35,,,,,,,,,,,,,,,,,
1541,4.38,35,,,,,,,,,,,,,,,,,
1543,4.31,35,,,,,,,,,,,,,,,,,
1545,4.38,35,,,,,,,,,,,,,,,,,
1547,4.38,35,,,,,,,,,,,,,,,,,
1549,4.37,35,,,,,,,,,,,,,,,,,
1551,4.29,35,,,,,,,,,,,,,,,,,
1553,4.36,35,,,,,,,,,,,,,,,,,
1555,4.36,35,,,,,,,,,,,,,,,,,
1557,4.34,35,,,,,,,,,,,,,,,,,
1559,4.28,35,,,,,,,,,,,,,,,,,
1561,4.27,35,,,,,,,,,,,,,,,,,
1563,4.34,35,,,,,,,,,,,,,,,,,
1565,4.34,35,,,,,,,,,,,,,,,,,
1567,4.31,35,,,,,,,,,,,,,,,,,
1569,4.25,35,,,,,,,,,,,,,,,,,
1571,4.25,35,,,,,,,,,,,,,,,,,
1573,4.25,35,,,,,,,,,,,,,,,,,
1575,4.23,35,,,,,,,,,,,,,,,,,
1577,4.3,35,,,,,,,,,,,,,,,,,
1579,4.27,35,,,,,,,,,,,,,,,,,
1581,4.22,35,,,,,,,,,,,,,,,,,
1583,4.21,35,,,,,,,,,,,,,,,,,
1584,4.29,35,,,,,,,,,,,,,,,,,
1585,4.21,35,,,,,,,,,,,,,,,,,
1586,4.26,35,,,,,,,,,,,,,,,,,
1587,4.2,35,,,,,,,,,,,,,,,,,
1588,4.25,35,,,,,,,,,,,,,,,,,
1590,4.25,35,,,,,,,,,,,,,,,,,
1592,4.28,35,,,,,,,,,,,,,,,,,
1594,4.24,35,,,,,,,,,,,,,,,,,
1596,4.23,35,,,,,,,,,,,,,,,,,
1598,4.17,35,,,,,,,,,,,,,,,,,
1600,4.21,35,,,,,,,,,,,,,,,,,
1602,4.16,35,,,,,,,,,,,,,,,,,
1604,4.16,35,,,,,,,,,,,,,,,,,
1606,4.23,35,,,,,,,,,,,,,,,,,
1608,4.19,35,,,,,,,,,,,,,,,,,
1610,4.15,35,,,,,,,,,,,,,,,,,
1612,4.23,35,,,,,,,,,,,,,,,,,
1614,4.23,35,,,,,,,,,,,,,,,,,
1616,4.23,35,,,,,,,,,,,,,,,,,
1618,4.14,35,,,,,,,,,,,,,,,,,
1620,4.14,35,,,,,,,,,,,,,,,,,
1622,4.16,35,,,,,,,,,,,,,,,,,
1624,4.14,35,,,,,,,,,,,,,,,,,
1626,4.13,35,,,,,,,,,,,,,,,,,
1628,4.21,35,,,,,,,,,,,,,,,,,
1630,4.15,34.99,,,,,,,,,,,,,,,,,
1632,4.11,34.99,,,,,,,,,,,,,,,,,
1634,4.2,34.99,,,,,,,,,,,,,,,,,
1636,4.19,34.99,,,,,,,,,,,,,,,,,
1638,4.14,35,,,,,,,,,,,,,,,,,
1640,4.09,34.99,,,,,,,,,,,,,,,,,
1642,4.13,35,,,,,,,,,,,,,,,,,
1644,4.13,35,,,,,,,,,,,,,,,,,
1646,4.08,34.99,,,,,,,,,,,,,,,,,
1648,4.07,34.99,,,,,,,,,,,,,,,,,
1650,4.11,34.99,,,,,,,,,,,,,,,,,
1651,4.16,34.99,,,,,,,,,,,,,,,,,
1652,4.11,35,,,,,,,,,,,,,,,,,
1654,4.06,34.99,,,,,,,,,,,,,,,,,
1656,4.06,34.99,,,,,,,,,,,,,,,,,
1657,4.15,34.99,,,,,,,,,,,,,,,,,
1658,4.05,34.99,,,,,,,,,,,,,,,,,
1659,4.05,34.99,,,,,,,,,,,,,,,,,
1661,4.04,34.99,,,,,,,,,,,,,,,,,
1662,4.1,35,,,,,,,,,,,,,,,,,
1663,4.03,34.99,,,,,,,,,,,,,,,,,
1664,4.1,35,,,,,,,,,,,,,,,,,
1665,4.09,35,,,,,,,,,,,,,,,,,
1667,4.02,34.99,,,,,,,,,,,,,,,,,
1669,4.02,34.99,,,,,,,,,,,,,,,,,
1671,4.12,34.99,,,,,,,,,,,,,,,,,
1673,4.11,34.99,,,,,,,,,,,,,,,,,
1675,4.11,34.99,,,,,,,,,,,,,,,,,
1677,4,34.99,,,,,,,,,,,,,,,,,
1679,4.1,34.99,,,,,,,,,,,,,,,,,
1681,4,34.99,,,,,,,,,,,,,,,,,
1683,3.99,34.99,,,,,,,,,,,,,,,,,
1685,4.05,35,,,,,,,,,,,,,,,,,
1687,4.04,35,,,,,,,,,,,,,,,,,
1689,3.98,34.99,,,,,,,,,,,,,,,,,
1691,4.07,34.99,,,,,,,,,,,,,,,,,
1693,3.98,34.99,,,,,,,,,,,,,,,,,
1695,4.02,35,,,,,,,,,,,,,,,,,
1697,3.97,34.99,,,,,,,,,,,,,,,,,
1699,4.05,34.99,,,,,,,,,,,,,,,,,
1701,4,35,,,,,,,,,,,,,,,,,
1703,3.97,34.99,,,,,,,,,,,,,,,,,
1705,4,35,,,,,,,,,,,,,,,,,
1707,4.03,34.99,,,,,,,,,,,,,,,,,
1709,3.99,35,,,,,,,,,,,,,,,,,
1711,3.95,34.99,,,,,,,,,,,,,,,,,
1713,3.95,34.99,,,,,,,,,,,,,,,,,
1715,3.98,34.99,,,,,,,,,,,,,,,,,
1717,3.95,34.99,,,,,,,,,,,,,,,,,
1719,3.95,34.99,,,,,,,,,,,,,,,,,
1721,4.03,34.99,,,,,,,,,,,,,,,,,
1723,3.96,34.99,,,,,,,,,,,,,,,,,
1724,3.96,34.99,,,,,,,,,,,,,,,,,
1725,3.94,34.99,,,,,,,,,,,,,,,,,
1727,3.95,34.99,,,,,,,,,,,,,,,,,
1728,4.03,35,,,,,,,,,,,,,,,,,
1729,3.95,34.99,,,,,,,,,,,,,,,,,
1730,3.94,34.99,,,,,,,,,,,,,,,,,
1732,3.94,34.99,,,,,,,,,,,,,,,,,
1734,4.03,35,,,,,,,,,,,,,,,,,
1736,3.92,34.99,,,,,,,,,,,,,,,,,
1738,3.93,34.99,,,,,,,,,,,,,,,,,
1740,3.92,34.99,,,,,,,,,,,,,,,,,
1742,4.01,34.99,,,,,,,,,,,,,,,,,
1744,3.92,34.99,,,,,,,,,,,,,,,,,
1746,3.92,34.99,,,,,,,,,,,,,,,,,
1748,4.01,34.99,,,,,,,,,,,,,,,,,
1750,3.88,34.99,,,,,,,,,,,,,,,,,
1752,3.91,34.99,,,,,,,,,,,,,,,,,
1754,3.91,34.99,,,,,,,,,,,,,,,,,
1756,3.98,34.99,,,,,,,,,,,,,,,,,
1758,3.91,34.99,,,,,,,,,,,,,,,,,
1760,3.87,34.99,,,,,,,,,,,,,,,,,
1762,3.9,34.99,,,,,,,,,,,,,,,,,
1764,3.87,34.99,,,,,,,,,,,,,,,,,
1766,3.9,34.99,,,,,,,,,,,,,,,,,
1768,3.89,34.99,,,,,,,,,,,,,,,,,
1770,3.95,34.99,,,,,,,,,,,,,,,,,
1772,3.89,34.99,,,,,,,,,,,,,,,,,
1774,3.89,34.99,,,,,,,,,,,,,,,,,
1776,3.94,34.99,,,,,,,,,,,,,,,,,
1778,3.94,34.99,,,,,,,,,,,,,,,,,
