Depth,Temp,Sal,,,,,,,,,,Depth,Temp,Sal,,,,Depth,Temperature,Sal
524,9.59,35.16,,,,,,,,,,524,9.59,35.68,,,,524,6.59,35.16
526,9.57,35.16,,,,,,,,,,526,9.57,35.68,,,,526,6.57,35.16
528,9.34,35.11,,,,,,,,,,528,9.34,35.63,,,,528,6.34,35.11
530,9.34,35.11,,,,,,,,,,530,9.34,35.63,,,,530,6.34,35.11
532,9.23,35.1,,,,,,,,,,532,9.23,35.62,,,,532,6.23,35.1
534,9.13,35.08,,,,,,,,,,534,9.13,35.6,,,,534,6.13,35.08
536,9.11,35.08,,,,,,,,,,536,9.11,35.6,,,,536,6.11,35.08
538,9.1,35.08,,,,,,,,,,538,9.1,35.6,,,,538,6.1,35.08
540,9.12,35.08,,,,,,,,,,540,9.12,35.6,,,,540,6.12,35.08
542,9.1,35.08,,,,,,,,,,542,9.1,35.6,,,,542,6.1,35.08
544,9.03,35.07,,,,,,,,,,544,9.03,35.59,,,,544,6.03,35.07
546,8.97,35.06,,,,,,,,,,546,8.97,35.58,,,,546,5.97,35.06
548,8.96,35.06,,,,,,,,,,548,8.96,35.58,,,,548,5.96,35.06
550,8.94,35.06,,,,,,,,,,550,8.94,35.58,,,,550,5.94,35.06
552,9.31,35.13,,,,,,,,,,552,9.31,35.65,,,,552,6.31,35.13
554,9.29,35.13,,,,,,,,,,554,9.29,35.65,,,,554,6.29,35.13
556,9.23,35.11,,,,,,,,,,556,9.23,35.63,,,,556,6.23,35.11
558,9.23,35.11,,,,,,,,,,558,9.23,35.63,,,,558,6.23,35.11
560,9,35.08,,,,,,,,,,560,9,35.6,,,,560,6,35.08
562,9,35.08,,,,,,,,,,562,9,35.6,,,,562,6,35.08
564,9.19,35.11,,,,,,,,,,564,9.19,35.63,,,,564,6.19,35.11
566,9.19,35.12,,,,,,,,,,566,9.19,35.64,,,,566,6.19,35.12
568,8.95,35.08,,,,,,,,,,568,8.95,35.6,,,,568,5.95,35.08
570,8.92,35.08,,,,,,,,,,570,8.92,35.6,,,,570,5.92,35.08
572,8.89,35.08,,,,,,,,,,572,8.89,35.6,,,,572,5.89,35.08
574,9.11,35.1,,,,,,,,,,574,9.11,35.62,,,,574,6.11,35.1
576,9.1,35.1,,,,,,,,,,576,9.1,35.62,,,,576,6.1,35.1
578,9.1,35.1,,,,,,,,,,578,9.1,35.62,,,,578,6.1,35.1
580,8.81,35.07,,,,,,,,,,580,8.81,35.59,,,,580,5.81,35.07
582,8.78,35.07,,,,,,,,,,582,8.78,35.59,,,,582,5.78,35.07
584,8.72,35.05,,,,,,,,,,584,8.72,35.57,,,,584,5.72,35.05
586,8.72,35.05,,,,,,,,,,586,8.72,35.57,,,,586,5.72,35.05
588,8.96,35.09,,,,,,,,,,588,8.96,35.61,,,,588,5.96,35.09
590,8.9,35.09,,,,,,,,,,590,8.9,35.61,,,,590,5.9,35.09
592,8.7,35.06,,,,,,,,,,592,8.7,35.58,,,,592,5.7,35.06
594,8.67,35.06,,,,,,,,,,594,8.67,35.58,,,,594,5.67,35.06
596,8.89,35.08,,,,,,,,,,596,8.89,35.6,,,,596,5.89,35.08
598,8.64,35.05,,,,,,,,,,598,8.64,35.57,,,,598,5.64,35.05
600,8.85,35.08,,,,,,,,,,600,8.85,35.6,,,,600,5.85,35.08
601,8.82,35.08,,,,,,,,,,601,8.82,35.6,,,,601,5.82,35.08
602,8.59,35.05,,,,,,,,,,602,8.59,35.57,,,,602,5.59,35.05
604,8.57,35.04,,,,,,,,,,604,8.57,35.56,,,,604,5.57,35.04
606,8.56,35.04,,,,,,,,,,606,8.56,35.56,,,,606,5.56,35.04
607,8.55,35.04,,,,,,,,,,607,8.55,35.56,,,,607,5.55,35.04
608,8.74,35.07,,,,,,,,,,608,8.74,35.59,,,,608,5.74,35.07
610,8.5,35.04,,,,,,,,,,610,8.5,35.56,,,,610,5.5,35.04
611,8.71,35.07,,,,,,,,,,611,8.71,35.59,,,,611,5.71,35.07
612,8.46,35.03,,,,,,,,,,612,8.46,35.55,,,,612,5.46,35.03
613,8.41,35.03,,,,,,,,,,613,8.41,35.55,,,,613,5.41,35.03
615,8.35,35.02,,,,,,,,,,615,8.35,35.54,,,,615,5.35,35.02
617,8.32,35.01,,,,,,,,,,617,8.32,35.53,,,,617,5.32,35.01
619,8.33,35.02,,,,,,,,,,619,8.33,35.54,,,,619,5.33,35.02
621,8.31,35.02,,,,,,,,,,621,8.31,35.54,,,,621,5.31,35.02
623,8.59,35.05,,,,,,,,,,623,8.59,35.57,,,,623,5.59,35.05
625,8.29,35.02,,,,,,,,,,625,8.29,35.54,,,,625,5.29,35.02
627,8.53,35.05,,,,,,,,,,627,8.53,35.57,,,,627,5.53,35.05
629,8.28,35.02,,,,,,,,,,629,8.28,35.54,,,,629,5.28,35.02
631,8.27,35.02,,,,,,,,,,631,8.27,35.54,,,,631,5.27,35.02
633,8.43,35.03,,,,,,,,,,633,8.43,35.55,,,,633,5.43,35.03
635,8.42,35.03,,,,,,,,,,635,8.42,35.55,,,,635,5.42,35.03
637,8.24,35.02,,,,,,,,,,637,8.24,35.54,,,,637,5.24,35.02
639,8.22,35.01,,,,,,,,,,639,8.22,35.53,,,,639,5.22,35.01
641,8.2,35.01,,,,,,,,,,641,8.2,35.53,,,,641,5.2,35.01
643,8.18,35.01,,,,,,,,,,643,8.18,35.53,,,,643,5.18,35.01
645,8.37,35.03,,,,,,,,,,645,8.37,35.55,,,,645,5.37,35.03
647,8.35,35.03,,,,,,,,,,647,8.35,35.55,,,,647,5.35,35.03
649,8.14,35.01,,,,,,,,,,649,8.14,35.53,,,,649,5.14,35.01
651,8.11,35,,,,,,,,,,651,8.11,35.52,,,,651,5.11,35
653,8.1,35,,,,,,,,,,653,8.1,35.52,,,,653,5.1,35
655,8.08,35,,,,,,,,,,655,8.08,35.52,,,,655,5.08,35
657,8.2,35.01,,,,,,,,,,657,8.2,35.53,,,,657,5.2,35.01
659,8.05,35,,,,,,,,,,659,8.05,35.52,,,,659,5.05,35
661,8.03,35,,,,,,,,,,661,8.03,35.52,,,,661,5.03,35
663,8.02,34.99,,,,,,,,,,663,8.02,35.51,,,,663,5.02,34.99
665,8.01,34.99,,,,,,,,,,665,8.01,35.51,,,,665,5.01,34.99
667,8.09,35,,,,,,,,,,667,8.09,35.52,,,,667,5.09,35
669,7.97,34.99,,,,,,,,,,669,7.97,35.51,,,,669,4.97,34.99
671,7.96,34.99,,,,,,,,,,671,7.96,35.51,,,,671,4.96,34.99
673,7.95,34.99,,,,,,,,,,673,7.95,35.51,,,,673,4.95,34.99
675,7.93,34.99,,,,,,,,,,675,7.93,35.51,,,,675,4.93,34.99
677,7.93,34.99,,,,,,,,,,677,7.93,35.51,,,,677,4.93,34.99
679,7.92,34.99,,,,,,,,,,679,7.92,35.51,,,,679,4.92,34.99
681,7.92,34.98,,,,,,,,,,681,7.92,35.5,,,,681,4.92,34.98
683,7.86,34.98,,,,,,,,,,683,7.86,35.5,,,,683,4.86,34.98
685,7.82,34.98,,,,,,,,,,685,7.82,35.5,,,,685,4.82,34.98
687,7.8,34.97,,,,,,,,,,687,7.8,35.49,,,,687,4.8,34.97
689,7.78,34.97,,,,,,,,,,689,7.78,35.49,,,,689,4.78,34.97
691,7.75,34.97,,,,,,,,,,691,7.75,35.49,,,,691,4.75,34.97
693,7.72,34.96,,,,,,,,,,693,7.72,35.48,,,,693,4.72,34.96
695,7.71,34.96,,,,,,,,,,695,7.71,35.48,,,,695,4.71,34.96
697,7.71,34.96,,,,,,,,,,697,7.71,35.48,,,,697,4.71,34.96
699,7.79,34.97,,,,,,,,,,699,7.79,35.49,,,,699,4.79,34.97
701,7.71,34.97,,,,,,,,,,701,7.71,35.49,,,,701,4.71,34.97
703,7.78,34.97,,,,,,,,,,703,7.78,35.49,,,,703,4.78,34.97
704,7.77,34.97,,,,,,,,,,704,7.77,35.49,,,,704,4.77,34.97
705,7.65,34.96,,,,,,,,,,705,7.65,35.48,,,,705,4.65,34.96
707,7.64,34.96,,,,,,,,,,707,7.64,35.48,,,,707,4.64,34.96
708,7.68,34.97,,,,,,,,,,708,7.68,35.49,,,,708,4.68,34.97
709,7.62,34.96,,,,,,,,,,709,7.62,35.48,,,,709,4.62,34.96
711,7.61,34.96,,,,,,,,,,711,7.61,35.48,,,,711,4.61,34.96
713,7.59,34.96,,,,,,,,,,713,7.59,35.48,,,,713,4.59,34.96
715,7.66,34.96,,,,,,,,,,715,7.66,35.48,,,,715,4.66,34.96
717,7.56,34.95,,,,,,,,,,717,7.56,35.47,,,,717,4.56,34.95
719,7.55,34.95,,,,,,,,,,719,7.55,35.47,,,,719,4.55,34.95
720,7.59,34.95,,,,,,,,,,720,7.59,35.47,,,,720,4.59,34.95
721,7.53,34.95,,,,,,,,,,721,7.53,35.47,,,,721,4.53,34.95
722,7.53,34.95,,,,,,,,,,722,7.53,35.47,,,,722,4.53,34.95
724,7.58,34.95,,,,,,,,,,724,7.58,35.47,,,,724,4.58,34.95
725,7.52,34.95,,,,,,,,,,725,7.52,35.47,,,,725,4.52,34.95
726,7.5,34.95,,,,,,,,,,726,7.5,35.47,,,,726,4.5,34.95
728,7.47,34.94,,,,,,,,,,728,7.47,35.46,,,,728,4.47,34.94
730,7.45,34.94,,,,,,,,,,730,7.45,35.46,,,,730,4.45,34.94
732,7.47,34.95,,,,,,,,,,732,7.47,35.47,,,,732,4.47,34.95
734,7.56,34.95,,,,,,,,,,734,7.56,35.47,,,,734,4.56,34.95
736,7.42,34.94,,,,,,,,,,736,7.42,35.46,,,,736,4.42,34.94
738,7.39,34.94,,,,,,,,,,738,7.39,35.46,,,,738,4.39,34.94
740,7.49,34.95,,,,,,,,,,740,7.49,35.47,,,,740,4.49,34.95
742,7.47,34.95,,,,,,,,,,742,7.47,35.47,,,,742,4.47,34.95
744,7.45,34.95,,,,,,,,,,744,7.45,35.47,,,,744,4.45,34.95
746,7.33,34.93,,,,,,,,,,746,7.33,35.45,,,,746,4.33,34.93
748,7.31,34.93,,,,,,,,,,748,7.31,35.45,,,,748,4.31,34.93
750,7.29,34.92,,,,,,,,,,750,7.29,35.44,,,,750,4.29,34.92
752,7.37,34.94,,,,,,,,,,752,7.37,35.46,,,,752,4.37,34.94
754,7.34,34.93,,,,,,,,,,754,7.34,35.45,,,,754,4.34,34.93
756,7.28,34.93,,,,,,,,,,756,7.28,35.45,,,,756,4.28,34.93
758,7.26,34.93,,,,,,,,,,758,7.26,35.45,,,,758,4.26,34.93
760,7.23,34.92,,,,,,,,,,760,7.23,35.44,,,,760,4.23,34.92
762,7.2,34.92,,,,,,,,,,762,7.2,35.44,,,,762,4.2,34.92
764,7.22,34.93,,,,,,,,,,764,7.22,35.45,,,,764,4.22,34.93
766,7.2,34.92,,,,,,,,,,766,7.2,35.44,,,,766,4.2,34.92
768,7.19,34.92,,,,,,,,,,768,7.19,35.44,,,,768,4.19,34.92
770,7.17,34.92,,,,,,,,,,770,7.17,35.44,,,,770,4.17,34.92
772,7.23,34.93,,,,,,,,,,772,7.23,35.45,,,,772,4.23,34.93
774,7.15,34.92,,,,,,,,,,774,7.15,35.44,,,,774,4.15,34.92
776,7.12,34.92,,,,,,,,,,776,7.12,35.44,,,,776,4.12,34.92
778,7.15,34.92,,,,,,,,,,778,7.15,35.44,,,,778,4.15,34.92
780,7.13,34.92,,,,,,,,,,780,7.13,35.44,,,,780,4.13,34.92
782,7.06,34.91,,,,,,,,,,782,7.06,35.43,,,,782,4.06,34.91
784,7.05,34.91,,,,,,,,,,784,7.05,35.43,,,,784,4.05,34.91
786,7.04,34.91,,,,,,,,,,786,7.04,35.43,,,,786,4.04,34.91
788,7,34.9,,,,,,,,,,788,7,35.42,,,,788,4,34.9
790,6.93,34.9,,,,,,,,,,790,6.93,35.42,,,,790,3.93,34.9
792,7.08,34.92,,,,,,,,,,792,7.08,35.44,,,,792,4.08,34.92
794,7.06,34.92,,,,,,,,,,794,7.06,35.44,,,,794,4.06,34.92
796,7.04,34.92,,,,,,,,,,796,7.04,35.44,,,,796,4.04,34.92
798,6.86,34.89,,,,,,,,,,798,6.86,35.41,,,,798,3.86,34.89
800,6.85,34.89,,,,,,,,,,800,6.85,35.41,,,,800,3.85,34.89
802,6.87,34.89,,,,,,,,,,802,6.87,35.41,,,,802,3.87,34.89
804,6.83,34.89,,,,,,,,,,804,6.83,35.41,,,,804,3.83,34.89
806,6.83,34.89,,,,,,,,,,806,6.83,35.41,,,,806,3.83,34.89
808,6.81,34.89,,,,,,,,,,808,6.81,35.41,,,,808,3.81,34.89
810,6.78,34.88,,,,,,,,,,810,6.78,35.4,,,,810,3.78,34.88
812,6.77,34.89,,,,,,,,,,812,6.77,35.41,,,,812,3.77,34.89
814,6.76,34.89,,,,,,,,,,814,6.76,35.41,,,,814,3.76,34.89
815,6.75,34.88,,,,,,,,,,815,6.75,35.4,,,,815,3.75,34.88
816,6.75,34.88,,,,,,,,,,816,6.75,35.4,,,,816,3.75,34.88
817,6.74,34.88,,,,,,,,,,817,6.74,35.4,,,,817,3.74,34.88
818,6.73,34.89,,,,,,,,,,818,6.73,35.41,,,,818,3.73,34.89
819,6.79,34.89,,,,,,,,,,819,6.79,35.41,,,,819,3.79,34.89
820,6.72,34.88,,,,,,,,,,820,6.72,35.4,,,,820,3.72,34.88
821,6.7,34.88,,,,,,,,,,821,6.7,35.4,,,,821,3.7,34.88
822,6.78,34.89,,,,,,,,,,822,6.78,35.41,,,,822,3.78,34.89
823,6.69,34.88,,,,,,,,,,823,6.69,35.4,,,,823,3.69,34.88
824,6.71,34.88,,,,,,,,,,824,6.71,35.4,,,,824,3.71,34.88
825,6.77,34.89,,,,,,,,,,825,6.77,35.41,,,,825,3.77,34.89
826,6.69,34.88,,,,,,,,,,826,6.69,35.4,,,,826,3.69,34.88
827,6.69,34.88,,,,,,,,,,827,6.69,35.4,,,,827,3.69,34.88
829,6.69,34.88,,,,,,,,,,829,6.69,35.4,,,,829,3.69,34.88
831,6.68,34.89,,,,,,,,,,831,6.68,35.41,,,,831,3.68,34.89
833,6.68,34.88,,,,,,,,,,833,6.68,35.4,,,,833,3.68,34.88
835,6.68,34.88,,,,,,,,,,835,6.68,35.4,,,,835,3.68,34.88
837,6.67,34.88,,,,,,,,,,837,6.67,35.4,,,,837,3.67,34.88
839,6.66,34.88,,,,,,,,,,839,6.66,35.4,,,,839,3.66,34.88
841,6.65,34.88,,,,,,,,,,841,6.65,35.4,,,,841,3.65,34.88
843,6.6,34.89,,,,,,,,,,843,6.6,35.41,,,,843,3.6,34.89
845,6.65,34.89,,,,,,,,,,845,6.65,35.41,,,,845,3.65,34.89
847,6.66,34.89,,,,,,,,,,847,6.66,35.41,,,,847,3.66,34.89
849,6.66,34.89,,,,,,,,,,849,6.66,35.41,,,,849,3.66,34.89
851,6.67,34.9,,,,,,,,,,851,6.67,35.42,,,,851,3.67,34.9
853,6.61,34.89,,,,,,,,,,853,6.61,35.41,,,,853,3.61,34.89
855,6.66,34.9,,,,,,,,,,855,6.66,35.42,,,,855,3.66,34.9
857,6.64,34.9,,,,,,,,,,857,6.64,35.42,,,,857,3.64,34.9
859,6.64,34.9,,,,,,,,,,859,6.64,35.42,,,,859,3.64,34.9
861,6.63,34.9,,,,,,,,,,861,6.63,35.42,,,,861,3.63,34.9
863,6.6,34.89,,,,,,,,,,863,6.6,35.41,,,,863,3.6,34.89
865,6.66,34.91,,,,,,,,,,865,6.66,35.43,,,,865,3.66,34.91
867,6.65,34.92,,,,,,,,,,867,6.65,35.44,,,,867,3.65,34.92
869,6.66,34.93,,,,,,,,,,869,6.66,35.45,,,,869,3.66,34.93
871,6.63,34.91,,,,,,,,,,871,6.63,35.43,,,,871,3.63,34.91
873,6.66,34.93,,,,,,,,,,873,6.66,35.45,,,,873,3.66,34.93
875,6.61,34.91,,,,,,,,,,875,6.61,35.43,,,,875,3.61,34.91
877,6.66,34.93,,,,,,,,,,877,6.66,35.45,,,,877,3.66,34.93
879,6.69,34.94,,,,,,,,,,879,6.69,35.46,,,,879,3.69,34.94
881,6.69,34.94,,,,,,,,,,881,6.69,35.46,,,,881,3.69,34.94
883,6.68,34.94,,,,,,,,,,883,6.68,35.46,,,,883,3.68,34.94
885,6.66,34.93,,,,,,,,,,885,6.66,35.45,,,,885,3.66,34.93
887,6.68,34.93,,,,,,,,,,887,6.68,35.45,,,,887,3.68,34.93
889,6.71,34.94,,,,,,,,,,889,6.71,35.46,,,,889,3.71,34.94
891,6.62,34.94,,,,,,,,,,891,6.62,35.46,,,,891,3.62,34.94
893,6.61,34.94,,,,,,,,,,893,6.61,35.46,,,,893,3.61,34.94
895,6.6,34.95,,,,,,,,,,895,6.6,35.47,,,,895,3.6,34.95
897,6.59,34.95,,,,,,,,,,897,6.59,35.47,,,,897,3.59,34.95
899,6.67,34.94,,,,,,,,,,899,6.67,35.46,,,,899,3.67,34.94
901,6.66,34.94,,,,,,,,,,901,6.66,35.46,,,,901,3.66,34.94
903,6.55,34.95,,,,,,,,,,903,6.55,35.47,,,,903,3.55,34.95
905,6.6,34.93,,,,,,,,,,905,6.6,35.45,,,,905,3.6,34.93
907,6.62,34.94,,,,,,,,,,907,6.62,35.46,,,,907,3.62,34.94
909,6.62,34.95,,,,,,,,,,909,6.62,35.47,,,,909,3.62,34.95
911,6.54,34.92,,,,,,,,,,911,6.54,35.44,,,,911,3.54,34.92
912,6.53,34.92,,,,,,,,,,912,6.53,35.44,,,,912,3.53,34.92
913,6.62,34.95,,,,,,,,,,913,6.62,35.47,,,,913,3.62,34.95
914,6.61,34.95,,,,,,,,,,914,6.61,35.47,,,,914,3.61,34.95
915,6.53,34.93,,,,,,,,,,915,6.53,35.45,,,,915,3.53,34.93
917,6.6,34.95,,,,,,,,,,917,6.6,35.47,,,,917,3.6,34.95
918,6.51,34.93,,,,,,,,,,918,6.51,35.45,,,,918,3.51,34.93
919,6.58,34.95,,,,,,,,,,919,6.58,35.47,,,,919,3.58,34.95
920,6.5,34.92,,,,,,,,,,920,6.5,35.44,,,,920,3.5,34.92
921,6.56,34.95,,,,,,,,,,921,6.56,35.47,,,,921,3.56,34.95
922,6.48,34.92,,,,,,,,,,922,6.48,35.44,,,,922,3.48,34.92
923,6.5,34.95,,,,,,,,,,923,6.5,35.47,,,,923,3.5,34.95
924,6.55,34.95,,,,,,,,,,924,6.55,35.47,,,,924,3.55,34.95
925,6.48,34.95,,,,,,,,,,925,6.48,35.47,,,,925,3.48,34.95
926,6.56,34.95,,,,,,,,,,926,6.56,35.47,,,,926,3.56,34.95
928,6.56,34.95,,,,,,,,,,928,6.56,35.47,,,,928,3.56,34.95
930,6.46,34.95,,,,,,,,,,930,6.46,35.47,,,,930,3.46,34.95
932,6.44,34.95,,,,,,,,,,932,6.44,35.47,,,,932,3.44,34.95
934,6.43,34.95,,,,,,,,,,934,6.43,35.47,,,,934,3.43,34.95
936,6.49,34.95,,,,,,,,,,936,6.49,35.47,,,,936,3.49,34.95
938,6.46,34.95,,,,,,,,,,938,6.46,35.47,,,,938,3.46,34.95
940,6.56,34.95,,,,,,,,,,940,6.56,35.47,,,,940,3.56,34.95
942,6.43,34.94,,,,,,,,,,942,6.43,35.46,,,,942,3.43,34.94
944,6.53,34.95,,,,,,,,,,944,6.53,35.47,,,,944,3.53,34.95
946,6.51,34.95,,,,,,,,,,946,6.51,35.47,,,,946,3.51,34.95
948,6.32,34.94,,,,,,,,,,948,6.32,35.46,,,,948,3.32,34.94
950,6.29,34.94,,,,,,,,,,950,6.29,35.46,,,,950,3.29,34.94
952,6.38,34.94,,,,,,,,,,952,6.38,35.46,,,,952,3.38,34.94
954,6.36,34.95,,,,,,,,,,954,6.36,35.47,,,,954,3.36,34.95
956,6.34,34.95,,,,,,,,,,956,6.34,35.47,,,,956,3.34,34.95
958,6.4,34.95,,,,,,,,,,958,6.4,35.47,,,,958,3.4,34.95
960,6.38,34.95,,,,,,,,,,960,6.38,35.47,,,,960,3.38,34.95
962,6.36,34.95,,,,,,,,,,962,6.36,35.47,,,,962,3.36,34.95
964,6.26,34.94,,,,,,,,,,964,6.26,35.46,,,,964,3.26,34.94
966,6.34,34.95,,,,,,,,,,966,6.34,35.47,,,,966,3.34,34.95
968,6.31,34.95,,,,,,,,,,968,6.31,35.47,,,,968,3.31,34.95
970,6.22,34.94,,,,,,,,,,970,6.22,35.46,,,,970,3.22,34.94
972,6.18,34.93,,,,,,,,,,972,6.18,35.45,,,,972,3.18,34.93
974,6.18,34.93,,,,,,,,,,974,6.18,35.45,,,,974,3.18,34.93
976,6.14,34.93,,,,,,,,,,976,6.14,35.45,,,,976,3.14,34.93
978,6.19,34.94,,,,,,,,,,978,6.19,35.46,,,,978,3.19,34.94
980,6.19,34.94,,,,,,,,,,980,6.19,35.46,,,,980,3.19,34.94
982,6.21,34.95,,,,,,,,,,982,6.21,35.47,,,,982,3.21,34.95
984,6.21,34.94,,,,,,,,,,984,6.21,35.46,,,,984,3.21,34.94
986,6.18,34.94,,,,,,,,,,986,6.18,35.46,,,,986,3.18,34.94
988,6.12,34.94,,,,,,,,,,988,6.12,35.46,,,,988,3.12,34.94
990,6.14,34.94,,,,,,,,,,990,6.14,35.46,,,,990,3.14,34.94
992,6.13,34.94,,,,,,,,,,992,6.13,35.46,,,,992,3.13,34.94
994,6.13,34.94,,,,,,,,,,994,6.13,35.46,,,,994,3.13,34.94
996,6.14,34.94,,,,,,,,,,996,6.14,35.46,,,,996,3.14,34.94
998,6.06,34.93,,,,,,,,,,998,6.06,35.45,,,,998,3.06,34.93
1000,6.1,34.94,,,,,,,,,,1000,6.1,35.46,,,,1000,3.1,34.94
1002,6.1,34.94,,,,,,,,,,1002,6.1,35.46,,,,1002,3.1,34.94
1004,6.09,34.93,,,,,,,,,,1004,6.09,35.45,,,,1004,3.09,34.93
1006,6.01,34.93,,,,,,,,,,1006,6.01,35.45,,,,1006,3.01,34.93
1008,6,34.93,,,,,,,,,,1008,6,35.45,,,,1008,3,34.93
1010,5.99,34.93,,,,,,,,,,1010,5.99,35.45,,,,1010,2.99,34.93
1012,6.02,34.93,,,,,,,,,,1012,6.02,35.45,,,,1012,3.02,34.93
1014,6.01,34.93,,,,,,,,,,1014,6.01,35.45,,,,1014,3.01,34.93
1015,6.01,34.94,,,,,,,,,,1015,6.01,35.46,,,,1015,3.01,34.94
1016,6.01,34.93,,,,,,,,,,1016,6.01,35.45,,,,1016,3.01,34.93
1017,6,34.93,,,,,,,,,,1017,6,35.45,,,,1017,3,34.93
1019,6,34.93,,,,,,,,,,1019,6,35.45,,,,1019,3,34.93
1020,6.05,34.95,,,,,,,,,,1020,6.05,35.47,,,,1020,3.05,34.95
1021,6,34.93,,,,,,,,,,1021,6,35.45,,,,1021,3,34.93
1023,6,34.93,,,,,,,,,,1023,6,35.45,,,,1023,3,34.93
1025,5.99,34.93,,,,,,,,,,1025,5.99,35.45,,,,1025,2.99,34.93
1027,6.07,34.96,,,,,,,,,,1027,6.07,35.48,,,,1027,3.07,34.96
1029,6.06,34.96,,,,,,,,,,1029,6.06,35.48,,,,1029,3.06,34.96
1031,6.04,34.96,,,,,,,,,,1031,6.04,35.48,,,,1031,3.04,34.96
1033,6.03,34.95,,,,,,,,,,1033,6.03,35.47,,,,1033,3.03,34.95
1035,6.03,34.95,,,,,,,,,,1035,6.03,35.47,,,,1035,3.03,34.95
1037,5.98,34.95,,,,,,,,,,1037,5.98,35.47,,,,1037,2.98,34.95
1039,5.96,34.95,,,,,,,,,,1039,5.96,35.47,,,,1039,2.96,34.95
1041,6,34.95,,,,,,,,,,1041,6,35.47,,,,1041,3,34.95
1043,5.95,34.95,,,,,,,,,,1043,5.95,35.47,,,,1043,2.95,34.95
1045,5.95,34.94,,,,,,,,,,1045,5.95,35.46,,,,1045,2.95,34.94
1047,5.94,34.95,,,,,,,,,,1047,5.94,35.47,,,,1047,2.94,34.95
1049,5.94,34.94,,,,,,,,,,1049,5.94,35.46,,,,1049,2.94,34.94
1051,5.97,34.95,,,,,,,,,,1051,5.97,35.47,,,,1051,2.97,34.95
1053,5.94,34.94,,,,,,,,,,1053,5.94,35.46,,,,1053,2.94,34.94
1055,5.94,34.95,,,,,,,,,,1055,5.94,35.47,,,,1055,2.94,34.95
1057,5.94,34.95,,,,,,,,,,1057,5.94,35.47,,,,1057,2.94,34.95
1059,5.93,34.95,,,,,,,,,,1059,5.93,35.47,,,,1059,2.93,34.95
1061,5.93,34.96,,,,,,,,,,1061,5.93,35.48,,,,1061,2.93,34.96
1063,5.92,34.96,,,,,,,,,,1063,5.92,35.48,,,,1063,2.92,34.96
1065,5.91,34.95,,,,,,,,,,1065,5.91,35.47,,,,1065,2.91,34.95
1067,5.92,34.95,,,,,,,,,,1067,5.92,35.47,,,,1067,2.92,34.95
1069,5.93,34.96,,,,,,,,,,1069,5.93,35.48,,,,1069,2.93,34.96
1071,5.93,34.96,,,,,,,,,,1071,5.93,35.48,,,,1071,2.93,34.96
1073,5.93,34.96,,,,,,,,,,1073,5.93,35.48,,,,1073,2.93,34.96
1075,5.93,34.96,,,,,,,,,,1075,5.93,35.48,,,,1075,2.93,34.96
1077,5.94,34.97,,,,,,,,,,1077,5.94,35.49,,,,1077,2.94,34.97
1079,5.89,34.97,,,,,,,,,,1079,5.89,35.49,,,,1079,2.89,34.97
1081,5.93,34.97,,,,,,,,,,1081,5.93,35.49,,,,1081,2.93,34.97
1083,5.91,34.97,,,,,,,,,,1083,5.91,35.49,,,,1083,2.91,34.97
1085,5.89,34.97,,,,,,,,,,1085,5.89,35.49,,,,1085,2.89,34.97
1087,5.82,34.97,,,,,,,,,,1087,5.82,35.49,,,,1087,2.82,34.97
1089,5.87,34.97,,,,,,,,,,1089,5.87,35.49,,,,1089,2.87,34.97
1091,5.89,34.97,,,,,,,,,,1091,5.89,35.49,,,,1091,2.89,34.97
1093,5.89,34.98,,,,,,,,,,1093,5.89,35.5,,,,1093,2.89,34.98
1095,5.89,34.98,,,,,,,,,,1095,5.89,35.5,,,,1095,2.89,34.98
1097,5.89,34.98,,,,,,,,,,1097,5.89,35.5,,,,1097,2.89,34.98
1098,5.76,34.97,,,,,,,,,,1098,5.76,35.49,,,,1098,2.76,34.97
1099,5.9,34.98,,,,,,,,,,1099,5.9,35.5,,,,1099,2.9,34.98
1100,5.76,34.97,,,,,,,,,,1100,5.76,35.49,,,,1100,2.76,34.97
1101,5.91,34.98,,,,,,,,,,1101,5.91,35.5,,,,1101,2.91,34.98
1102,5.91,34.98,,,,,,,,,,1102,5.91,35.5,,,,1102,2.91,34.98
1103,5.76,34.97,,,,,,,,,,1103,5.76,35.49,,,,1103,2.76,34.97
1104,5.75,34.97,,,,,,,,,,1104,5.75,35.49,,,,1104,2.75,34.97
1106,5.84,34.98,,,,,,,,,,1106,5.84,35.5,,,,1106,2.84,34.98
1108,5.88,34.99,,,,,,,,,,1108,5.88,35.51,,,,1108,2.88,34.99
1110,5.82,34.98,,,,,,,,,,1110,5.82,35.5,,,,1110,2.82,34.98
1111,5.88,34.99,,,,,,,,,,1111,5.88,35.51,,,,1111,2.88,34.99
1112,5.72,34.98,,,,,,,,,,1112,5.72,35.5,,,,1112,2.72,34.98
1114,5.72,34.98,,,,,,,,,,1114,5.72,35.5,,,,1114,2.72,34.98
1116,5.72,34.98,,,,,,,,,,1116,5.72,35.5,,,,1116,2.72,34.98
1118,5.87,34.99,,,,,,,,,,1118,5.87,35.51,,,,1118,2.87,34.99
1120,5.84,34.99,,,,,,,,,,1120,5.84,35.51,,,,1120,2.84,34.99
1122,5.7,34.98,,,,,,,,,,1122,5.7,35.5,,,,1122,2.7,34.98
1124,5.75,34.98,,,,,,,,,,1124,5.75,35.5,,,,1124,2.75,34.98
